nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Colombia,51265844,1141748,América
Perú,33359418,1285216,América
México,126705138,1964375,América
Estados Unidos,331893745,9372610,América
Canadá,38246108,9984670,América
Venezuela,28435943,916445,América
Ecuador,18001000,283561,América
España,47394223,505992,Europa
Alemania,83149300,357022,Europa
Francia,67413000,643801,Europa
Italia,59554023,301340,Europa
Reino Unido,67886011,242495,Europa
Portugal,10298252,92212,Europa
Polonia,37958138,312679,Europa
Países Bajos,17590672,41543,Europa
Suecia,10379295,450295,Europa
Noruega,5391369,385207,Europa
China,1412600000,9596960,Asia
India,1393409038,3287263,Asia
Japón,125800000,377975,Asia
Indonesia,273523615,1904569,Asia
Pakistán,220892340,881913,Asia
Bangladesh,166303498,147570,Asia
Filipinas,109581078,300000,Asia
Vietnam,97338579,331212,Asia
Turquía,84339067,783562,Asia
Irán,85028759,1648195,Asia
Nigeria,206139589,923768,África
Etiopía,117876227,1104300,África
Egipto,104258327,1001450,África
República Democrática del Congo,101780263,2344858,África
Tanzania,61498437,945087,África
Kenia,54985698,580367,África
Sudáfrica,60041994,1219090,África
Argelia,44616624,2381741,África
Sudán,43849260,1861484,África
Uganda,45741007,241038,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Papúa Nueva Guinea,9949437,462840,Oceanía
Fiyi,930748,18274,Oceanía
